ticket_id,customer_tier,raw_text,actual_category,detected_category,sentiment_score,priority
REQ-5000,Mid-Market,My CEO is cc'd on this email. We need an executive response today.,PR Risk,PR Risk,1,CRITICAL
REQ-5001,SMB,The search function returns incorrect results for any query with special characters. We need this resolved today.,Technical Bug,Technical Bug,3,Medium
REQ-5002,SMB,We have documented every outage and are preparing a case against your SLA.,PR Risk,General,3,Normal
REQ-5003,SMB,How do I export my data to a CSV? I cannot find the button.,Product Question,Product Question,3,Normal
REQ-5004,Mid-Market,Data is not syncing between the mobile app and the web dashboard. We need this resolved today.,Technical Bug,PR Risk,1,CRITICAL
REQ-5005,SMB,Our legal team is reviewing our contract due to this ongoing service outage.,PR Risk,PR Risk,1,CRITICAL
REQ-5006,SMB,New team member has not received the invitation email after 24 hours. Our entire team is affected.,Access Issue,Access Issue,2,Medium
REQ-5007,Mid-Market,The new dashboard update is exactly what we asked for. Thank you. This is blocking our team.,Praise,Praise,5,Normal
REQ-5008,Mid-Market,Refunding this now or I am taking this to social media. Charged twice! ASAP please.,PR Risk,PR Risk,1,CRITICAL
REQ-5009,SMB,Executive sponsor has left the company and the new one is re-evaluating all tools. This is blocking our team.,Churn Risk,Churn Risk,2,High
REQ-5010,SMB,Executive sponsor has left the company and the new one is re-evaluating all tools. This is urgent.,Churn Risk,Churn Risk,2,High
REQ-5011,Enterprise,We have documented every outage and are preparing a case against your SLA. This is our third time contacting support about this.,PR Risk,General,3,Normal
REQ-5012,Mid-Market,Your onboarding specialist went above and beyond for our team. This is blocking our team.,Praise,Praise,5,Normal
REQ-5013,SMB,Does the platform support SAML-based SSO with Okta?,Product Question,Technical Bug,3,Medium
REQ-5014,Mid-Market,We want to add 50 more seats to our current plan. Who should I talk to? This is urgent.,Sales,Sales,3,High
REQ-5015,Mid-Market,Fastest support response I have ever received from any SaaS vendor. This is our third time contacting support about this.,Praise,Praise,5,Normal
REQ-5016,Mid-Market,Your service caused us to miss a client deadline. We are seeking damages.,PR Risk,PR Risk,1,CRITICAL
REQ-5017,Enterprise,Our contract is up in 60 days and we are not sure we will renew. This is urgent.,Churn Risk,PR Risk,1,CRITICAL
REQ-5018,SMB,We have documented every outage and are preparing a case against your SLA. Our entire team is affected.,PR Risk,General,3,Normal
REQ-5019,SMB,Is there a discount available for non-profit organizations? ASAP please.,Sales,Sales,3,High
REQ-5020,Mid-Market,Data is not syncing between the mobile app and the web dashboard. This is blocking our team.,Technical Bug,PR Risk,1,CRITICAL
REQ-5021,Mid-Market,Your service caused us to miss a client deadline. We are seeking damages.,PR Risk,PR Risk,1,CRITICAL
REQ-5022,SMB,New team member has not received the invitation email after 24 hours. We need this resolved today.,Access Issue,Access Issue,2,Medium
REQ-5023,Enterprise,We want to add 50 more seats to our current plan. Who should I talk to? This is blocking our team.,Sales,Sales,3,High
REQ-5024,Mid-Market,Two-factor authentication is failing for three members of my team. We need this resolved today.,Access Issue,Technical Bug,3,Medium
REQ-5025,Mid-Market,This is the third billing error this quarter. I am escalating to my board. We need this resolved today.,PR Risk,PR Risk,1,CRITICAL
REQ-5026,SMB,We expected the roadmap feature by Q2. It is now Q4 and nothing has shipped. Our entire team is affected.,Churn Risk,Churn Risk,2,High
REQ-5027,Enterprise,Data is not syncing between the mobile app and the web dashboard.,Technical Bug,PR Risk,1,CRITICAL
REQ-5028,Mid-Market,We expected the roadmap feature by Q2. It is now Q4 and nothing has shipped. We need this resolved today.,Churn Risk,Churn Risk,2,High
REQ-5029,SMB,Can you walk us through the Enterprise security and compliance features?,Sales,Sales,3,High
REQ-5030,Mid-Market,I think I found a security vulnerability in your login portal. We need this resolved today.,Technical Bug,Technical Bug,3,Medium
REQ-5031,Mid-Market,New team member has not received the invitation email after 24 hours. This is blocking our team.,Access Issue,Access Issue,2,Medium
REQ-5032,SMB,How do I export my data to a CSV? I cannot find the button.,Product Question,Product Question,3,Normal
REQ-5033,Mid-Market,Webhook events stopped firing three hours ago. Our automation is down. ASAP please.,Technical Bug,Technical Bug,2,High
REQ-5034,Enterprise,I will be filing a formal complaint with the regulator if this is not addressed.,PR Risk,PR Risk,1,CRITICAL
REQ-5035,Mid-Market,The app crashed again while I was mid-presentation. Infuriating. ASAP please.,Technical Bug,Technical Bug,2,High
REQ-5036,SMB,How do I export my data to a CSV? I cannot find the button.,Product Question,Product Question,3,Normal
REQ-5037,Enterprise,We want to add 50 more seats to our current plan. Who should I talk to?,Sales,Sales,3,High
REQ-5038,Enterprise,I cannot log in after your maintenance window ended. Account appears locked. This is blocking our team.,Access Issue,Access Issue,2,Medium
REQ-5039,Mid-Market,Refunding this now or I am taking this to social media. Charged twice! This is urgent.,PR Risk,PR Risk,1,CRITICAL
REQ-5040,Mid-Market,New team member has not received the invitation email after 24 hours. This is blocking our team.,Access Issue,Access Issue,2,Medium
REQ-5041,SMB,Executive sponsor has left the company and the new one is re-evaluating all tools. This is urgent.,Churn Risk,Churn Risk,2,High
REQ-5042,SMB,API returning 500 errors on every POST request since this morning.,Technical Bug,Technical Bug,3,Medium
REQ-5043,Mid-Market,Looking at competitors because your uptime has been terrible lately.,Churn Risk,Churn Risk,2,High
REQ-5044,Enterprise,The password reset link expired before I could use it. Please resend. This is urgent.,Access Issue,Access Issue,2,Medium
REQ-5045,Mid-Market,Three of our team members have stopped using the platform entirely.,Churn Risk,Churn Risk,2,High
REQ-5046,Mid-Market,The app crashed again while I was mid-presentation. Infuriating. This is our third time contacting support about this.,Technical Bug,Technical Bug,2,High
REQ-5047,Enterprise,New team member has not received the invitation email after 24 hours.,Access Issue,Access Issue,2,Medium
REQ-5048,Mid-Market,Your onboarding specialist went above and beyond for our team. This is our third time contacting support about this.,Praise,Praise,5,Normal
REQ-5049,Enterprise,My CEO is cc'd on this email. We need an executive response today. This is our third time contacting support about this.,PR Risk,PR Risk,1,CRITICAL
